Offset(P)            #Ptr   #Hnd Access Name
0x000000003dc21a40      3      1 ------ \Device\Afd\Endpoint
0x000000003dc26630      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003dc276f0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\StructuredQuery.dll
0x000000003dc27990      1      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Feeds\FeedsStore.feedsdb-ms
0x000000003dc27d00     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchFolder.dll
0x000000003dc28d10     11      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\FileMaps\$$_system32_21f9a9c4a2f8b514.cdf-ms
0x000000003dc2a4d0      2      0 -W---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\84C3YW0Y\dnserror[1]
0x000000003dc2ab80     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc2bf20      8      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\winspool.drv
0x000000003dc2c070     17      1 RW-rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\PrivacIE\Low\index.dat
0x000000003dc2dc20      2      0 -W---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\84C3YW0Y\errorPageStrings[1]
0x000000003dc2df20     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\iepeers.dll
0x000000003dc36150     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\msimtf.dll
0x000000003dc36910      1      0 RW-rwd \Device\HarddiskVolume2\$PrepareToShrinkFileSize
0x000000003dc36a60      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003dc39380      2      0 -W---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\570ATAWV\noConnect[1]
0x000000003dc39f20      2      0 -W---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\XVNT15V3\httpErrorPagesScripts[1]
0x000000003dc3b370     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\imgutil.dll
0x000000003dc3c830     12      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\pngfilt.dll
0x000000003dc3cbf0      2      0 -W---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\YU9N38YU\background_gradient[1]
0x000000003dc3d3d0     16      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Notepad++.lnk
0x000000003dc3d520     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Contacts\desktop.ini
0x000000003dc3e3b0      1      1 ------ \Device\NamedPipe\MsFteWds
0x000000003dc3ea30     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Downloads\desktop.ini
0x000000003dc3ecd0     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Links\desktop.ini
0x000000003dc3ee20     16      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\NetworkProjection.lnk
0x000000003dc3ff20      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\msctf.dll.mui
0x000000003dc41580     14      0 R--r-d \Device\HarddiskVolume2\Program Files\Common Files\System\wab32res.dll
0x000000003dc41790     16      0 R--rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer (64-bit).lnk
0x000000003dc41c50     16      0 R--rwd \Device\HarddiskVolume2\Program Files\desktop.ini
0x000000003dc41e60     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Saved Games\desktop.ini
0x000000003dc427a0     16      0 RW---- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Protect\CREDHIST
0x000000003dc42aa0      1      1 RW---- \Device\HarddiskVolume2\System Volume Information\Syscache.hve
0x000000003dc42f20     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc44bc0     16      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\courbd.ttf
0x000000003dc44bc0     16      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\courbd.ttf
0x000000003dc44d10     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\tzres.dll
0x000000003dc44f20      9      0 R--r-- \Device\HarddiskVolume2\Program Files (x86)\Notepad++\plugins\mimeTools\mimeTools.dll
0x000000003dc47780     17      1 RW-r-- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Sticky Notes\StickyNotes.snt
0x000000003dc491e0      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\Favorites
0x000000003dc49330      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\Favorites
0x000000003dc49930      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003dc49e60      2      0 -W---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\570ATAWV\tools[1]
0x000000003dc4a1d0     16      0 R--r-d \Device\HarddiskVolume2\Users\Batou\Searches\Indexed Locations.search-ms
0x000000003dc4a320     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\aelupsvc.dll
0x000000003dc4add0     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Recent\desktop.ini
0x000000003dc4af20      1      1 RW---- \Device\HarddiskVolume2\System Volume Information\Syscache.hve.LOG1
0x000000003dc4b070      1      1 ------ \Device\NamedPipe\MsFteWds
0x000000003dc4b2f0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\mssvp.dll.mui
0x000000003dc4b7a0     13      0 R--r-d \Device\HarddiskVolume2\Program Files\Internet Explorer\ieproxy.dll
0x000000003dc4b8f0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\verclsid.exe
0x000000003dc4e260     12      0 R--r-d \Device\HarddiskVolume2\Program Files\Common Files\Microsoft Shared\ink\InkObj.dll
0x000000003dc4f300     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AuxiliaryDisplayServices.dll
0x000000003dc4f7c0     16      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\segoepr.ttf
0x000000003dc50630     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml3r.dll
0x000000003dc52760      3      1 ------ \Device\Afd\Endpoint
0x000000003dc52f20     14      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\arial.ttf
0x000000003dc53ce0     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\searchfolder.dll.mui
0x000000003dc5e680     16      0 R--rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Narrator.lnk
0x000000003dc5edd0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc5fbc0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\notepad.exe
0x000000003dc5fe60      7      0 R--r-- \Device\HarddiskVolume2\Windows\Prefetch\ReadyBoot\Trace1.fx
0x000000003dc60b40      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003dc61460     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Videos\desktop.ini
0x000000003dc61700     16      0 R--rwd \Device\HarddiskVolume2\Users\Public\Videos\desktop.ini
0x000000003dc61f20     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Libraries\Videos.library-ms
0x000000003dc62070     16      0 R--rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Notepad.lnk
0x000000003dc623d0     16      0 R--rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Internet Explorer (No Add-ons).lnk
0x000000003dc63540     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NlsLexicons001d.dll
0x000000003dc63bb0     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Searches\desktop.ini
0x000000003dc64900     16      0 R--rwd \Device\HarddiskVolume2\Users\Public\Libraries\desktop.ini
0x000000003dc64f20     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NlsData001d.dll
0x000000003dc666c0      1      1 RW---- \Device\HarddiskVolume2\System Volume Information\Syscache.hve.LOG2
0x000000003dc671f0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc67ce0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc683c0     15      0 R--r-d \Device\HarddiskVolume2\Program Files\Common Files\System\en-US\wab32res.dll.mui
0x000000003dc71910     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc72f20     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc74aa0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\sntsearch.dll.mui
0x000000003dc74bf0     16      0 RW---- \Device\HarddiskVolume2\Windows\AppCompat\Programs\RecentFileCache.bcf
0x000000003dc74f20     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SNTSearch.dll
0x000000003dc76810      1      1 ------ \Device\NamedPipe\MsFteWds
0x000000003dc7bf20     16      0 R--r-d \Device\HarddiskVolume2\Users\Batou\Searches\Sticky Notes (Windows Sticky Notes).searchconnector-ms
0x000000003dc7c8c0     15      1 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\en-US\KernelBase.dll.mui
0x000000003dc8a7d0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003dc8a920      1      1 ------ \Device\NamedPipe\MsFteWds
0x000000003dc8e110     14      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\lucon.ttf
0x000000003dc8f3d0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc8f530      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc8fbc0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\notepad.exe.mui
0x000000003dc8fdd0     16      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Notepad++\SciLexer.dll
0x000000003dc8ff20     16      0 R--rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Notepad++\config.xml
0x000000003de34ca0      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-1d4-0
0x000000003de38390     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\ncrypt.dll
0x000000003de3ef20      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WWanAPI.dll
0x000000003de3f070     16      0 R--r-- \Device\HarddiskVolume2\Windows\AppPatch\pcamain.sdb
0x000000003de3f1d0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\CertEnroll.dll
0x000000003de40f20      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003de417d0      7      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb
0x000000003de48d50     11      0 R--r-d \Device\HarddiskVolume2\Windows\explorer.exe
0x000000003de49600     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dwmredir.dll
0x000000003de49750     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml6.dll
0x000000003de4a5a0      2      1 RW-r-- \Device\HarddiskVolume2\Users\Batou\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms
0x000000003de4e900      2      1 ------ \Device\Afd\Endpoint
0x000000003de4ea50      1      1 ------ \Device\Afd\Endpoint
0x000000003de56f20     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wsnmp32.dll
0x000000003de58340     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\snmpapi.dll
0x000000003de58660     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\HotStartUserAgent.dll
0x000000003de59070      1      1 RW-rwd \Device\clfs\Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\UsrClass.dat{431beefa-b571-11e8-9535-000c29b71f00}.TM
0x000000003de5a3f0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\d3d10_1core.dll
0x000000003de5af20     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dwmcore.dll
0x000000003de5b920     17      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.dir
0x000000003de5bd80      4      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.000
0x000000003de5df20     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\d3d10_1.dll
0x000000003de5ed10      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dxgi.dll
0x000000003de5ee60     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FXSMON.dll
0x000000003de688b0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\tcpmon.dll
0x000000003de68a00     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml6r.dll
0x000000003de6a270     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\en-US\ie4uinit.exe.mui
0x000000003de6b070     14      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003de6b570      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003de6ba10     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\EhStorShell.dll
0x000000003de6c5d0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WSDMon.dll
0x000000003de6cf20      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a
0x000000003de6d070     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\IDStore.dll
0x000000003de6df20     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Notepad++\plugins\config\DSpellCheck.ini
0x000000003de6edc0      2      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Tablet PC\Desktop.ini
0x000000003de6f230     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003de6f6b0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msutb.dll
0x000000003de71400     16      0 R--r-d \Device\HarddiskVolume2\Windows\Resources\Themes\Aero\Shell\NormalColor\shellstyle.dll
0x000000003de72690      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003de73b00     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\pautoenr.dll
0x000000003de76070     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003de76bf0      2      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini
0x000000003de79c80     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\certcli.dll
0x000000003de7b070     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WSDApi.dll
0x000000003de7b2d0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003de974e0      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003de9bf20     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchProtocolHost.exe
0x000000003dea5950      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003dea7070     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\msutb.dll.mui
0x000000003dea7650      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FXSST.dll
0x000000003dea8310      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003dea8860     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\ie4uinit.exe
0x000000003dea8c70     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FXSRESM.dll
0x000000003dea8dc0     13      0 R--r-- \Device\HarddiskVolume2\Users\Batou\AppData\Local\IconCache.db
0x000000003dea9a60      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dea9d00     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003deaa300      1      1 -W-rw- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Temp\FXSAPIDebugLogFile.txt
0x000000003deabc00     12      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\npmproxy.dll
0x000000003deb2c20     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\cscapi.dll
0x000000003deb33a0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003deb52c0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003deb6910     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\DriverStore\infpub.dat
0x000000003deb6af0      1      1 ------ \Device\NamedPipe\srvsvc
0x000000003deb6c40     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\DriverStore\infstrng.dat
0x000000003deb7070     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\inetpp.dll
0x000000003deb76a0      7      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003deb86c0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ntshrui.dll
0x000000003debb450      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003debb970     16      0 R--r-- \Device\HarddiskVolume2\Windows\inf\faxcn002.inf
0x000000003debcf20      2      1 ------ \Device\NamedPipe\srvsvc
0x000000003debd760     17      1 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\en-US\msctf.dll.mui
0x000000003debeca0      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Administrative Tools\desktop.ini
0x000000003debf4b0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003debfa60      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Printer Shortcuts
0x000000003dec09e0     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\DriverStore\en-US\faxcn002.inf_loc
0x000000003dec0b30     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dec9140     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\iedkcs32.dll
0x000000003dec95d0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\ie4uinit.exe.mui
0x000000003dec9720     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ie4uinit.exe
0x000000003dec9d40     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\iedkcs32.dll.mui
0x000000003decbb00      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_106f9be843a9b4e3
0x000000003decc070      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003decc5b0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003decd770      2      1 ------ \Device\NamedPipe\wkssvc
0x000000003decec70      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\themeui.dll
0x000000003decedc0     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\msctf.dll.mui
0x000000003decf4a0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\timedate.cpl
0x000000003decfc80      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003ded0250      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000003ded1f20     17      1 R--r-d \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_106f9be843a9b4e3\comctl32.dll.mui
0x000000003ded2070     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ded24f0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\actxprxy.dll
0x000000003ded2f20     16      0 R--rwd \Device\HarddiskVolume2\Users\desktop.ini
0x000000003ded3cd0     16      0 R--rw- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Caches\cversions.1.db
0x000000003ded46a0     15      0 R--r-- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Caches\{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000002.db
0x000000003ded5480     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Desktop\desktop.ini
0x000000003ded5dd0      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Burn\Burn\desktop.ini
0x000000003ded65b0      2      0 R--rwd \Device\HarddiskVolume2\Users\Public\Desktop\desktop.ini
0x000000003ded6700      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Burn
0x000000003ded6f20      2      1 R--rwd \Device\HarddiskVolume2\Users\Public\Desktop
0x000000003ded7310      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dot3api.dll
0x000000003ded7460      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Burn
0x000000003ded7c00      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\eappcfg.dll
0x000000003ded7dd0      2      0 R--rwd \Device\HarddiskVolume2\Users\Public\desktop.ini
0x000000003ded85d0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanhlp.dll
0x000000003ded8a80      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003ded8cd0      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\desktop.ini
0x000000003ded8e20      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\desktop.ini
0x000000003ded9070      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\Desktop
0x000000003ded92a0      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ded96a0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\shdocvw.dll
0x000000003deda070     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003deda830     16      0 R--rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Internet Explorer.lnk
0x000000003dedb220      2      0 R--rwd \Device\HarddiskVolume2\Program Files (x86)\desktop.ini
0x000000003dedb370      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\stobject.dll
0x000000003dedb6e0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\linkinfo.dll
0x000000003dedbf20     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dedc2e0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003deddf20      2      0 R--rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Windows Explorer.lnk
0x000000003dede1a0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dede770     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dededa0      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\msutb.dll.mui
0x000000003dedef20      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\Desktop
